CMDLINE C:\Users\garci\anaconda3\envs\ED\python.exe InsertBthree.py
MEM 616.519531 1729974123.5032
MEM 617.527344 1729974123.6039
MEM 618.222656 1729974123.7041
MEM 619.128906 1729974123.8044
MEM 620.039062 1729974123.9051
MEM 620.695312 1729974124.0054
MEM 621.617188 1729974124.1059
MEM 622.511719 1729974124.2063
MEM 623.167969 1729974124.3066
MEM 624.078125 1729974124.4068
MEM 624.984375 1729974124.5072
MEM 625.640625 1729974124.6078
MEM 626.542969 1729974124.7083
MEM 627.445312 1729974124.8089
MEM 628.105469 1729974124.9093
MEM 628.894531 1729974125.0099
MEM 629.796875 1729974125.1103
MEM 630.445312 1729974125.2107
MEM 631.343750 1729974125.3111
MEM 632.246094 1729974125.4115
MEM 633.167969 1729974125.5120
MEM 633.824219 1729974125.6122
MEM 634.726562 1729974125.7124
MEM 635.625000 1729974125.8128
MEM 636.273438 1729974125.9134
MEM 637.167969 1729974126.0137
MEM 638.066406 1729974126.1140
MEM 638.710938 1729974126.2144
MEM 639.363281 1729974126.3149
MEM 184.960938 1729974126.4155
